Symbol,Company Name,Last Price,Change,% Change,Market Time,Volume,Avg Vol (3 month),Market Cap
XOM,Exxon Mobil Corporation,110.12,0.56,0.51%,4:03 PM EDT,15.79M,15.82M,445.21B
CVX,Chevron Corporation,160.83,0.97,0.61%,4:03 PM EDT,8.64M,7.95M,300.66B
SHEL,Shell plc,62.32,0.46,0.75%,4:00 PM EDT,3.75M,4.61M,209.05B
TTE,TotalEnergies SE,63.32,0.78,1.25%,4:00 PM EDT,2.03M,1.36M,153.50B
COP,ConocoPhillips,115.83,-0.61,-0.52%,4:00 PM EDT,3.55M,5.50M,140.16B
BP,BP p.l.c.,37.08,0.1,0.26%,4:00 PM EDT,7.72M,7.61M,107.07B
EQNR,Equinor ASA,31.71,-0.84,-2.58%,4:00 PM EDT,4.18M,2.94M,98.66B
PBR,Petróleo Brasileiro S.A. - Petrobras,13.68,0.08,0.59%,4:00 PM EDT,14.71M,20.94M,89.22B
PBR-A,Petróleo Brasileiro S.A. - Petrobras,12.54,0.13,1.05%,4:00 PM EDT,7.89M,9.10M,87.50B
SLB,Schlumberger Limited,58.92,-0.59,-0.99%,4:00 PM EDT,8.28M,10.22M,83.74B
EOG,"EOG Resources, Inc.",131.05,0.24,0.18%,4:00 PM EDT,2.34M,3.37M,76.65B
ENB,Enbridge Inc.,36.45,-0.04,-0.11%,4:00 PM EDT,3.92M,3.84M,73.80B
CNQ,Canadian Natural Resources Limited,61.5,0.19,0.31%,4:00 PM EDT,1.74M,1.87M,67.13B
MPC,Marathon Petroleum Corporation,145.28,1.23,0.85%,4:00 PM EDT,3.59M,3.49M,62.47B
EPD,Enterprise Products Partners L.P.,26.64,-,-,4:00 PM EDT,2.96M,4.35M,57.93B
OXY,Occidental Petroleum Corporation,63.73,-0.08,-0.13%,4:00 PM EDT,7.60M,10.17M,56.83B
PXD,Pioneer Natural Resources Company,235.91,-0.68,-0.29%,4:00 PM EDT,1.48M,1.84M,55.14B
PSX,Phillips 66,114.67,0.25,0.22%,4:00 PM EDT,2.57M,3.20M,52.62B
E,Eni S.p.A.,30.97,0.25,0.81%,4:00 PM EDT,209.38k,226.71k,51.22B
VLO,Valero Energy Corporation,134.86,0.91,0.68%,4:00 PM EDT,3.74M,3.97M,48.75B
HES,Hess Corporation,156.57,0.17,0.11%,4:00 PM EDT,1.00M,1.72M,48.08B
WDS,Woodside Energy Group Ltd,25.19,0.07,0.28%,4:00 PM EDT,385.85k,362.86k,47.83B
WMB,"The Williams Companies, Inc.",35.06,-0.2,-0.57%,4:00 PM EDT,5.69M,7.45M,42.71B
SU,Suncor Energy Inc.,31.56,-0.16,-0.50%,4:00 PM EDT,5.09M,4.37M,41.33B
ET,Energy Transfer LP,13.07,0.09,0.69%,4:00 PM EDT,16.61M,10.27M,41.06B
LNG,"Cheniere Energy, Inc.",166.9,-0.53,-0.32%,4:00 PM EDT,1.60M,1.56M,40.64B
KMI,"Kinder Morgan, Inc.",17.54,-0.01,-0.06%,4:00 PM EDT,12.57M,13.28M,39.08B
CVE,Cenovus Energy Inc.,19.41,0.05,0.26%,4:00 PM EDT,9.15M,6.72M,36.87B
HAL,Halliburton Company,40.36,-0.1,-0.25%,4:00 PM EDT,6.92M,9.31M,36.41B
TRP,TC Energy Corporation,36.3,-0.12,-0.33%,4:00 PM EDT,1.59M,2.61M,36.34B
